carat,cut,color,clarity,depth,table,x,y,z,price,depth_categories
0.51,0,6,6.0,62.5,56.0,5.06,5.12,3.18,988,0.2
0.71,2,5,3.6,61.1,60.0,5.72,5.77,3.51,2384,0.0
0.57,0,4,2.0,60.9,56.0,5.36,5.38,3.27,1949,0.0
0.71,2,2,6.5,60.5,62.0,5.75,5.79,3.49,2138,0.0
0.72,2,1,6.0,63.3,56.0,5.67,5.71,3.6,3183,0.2
0.36,0,3,3.1,62.3,57.0,4.55,4.57,2.84,678,0.2
0.3,0,4,3.1,61.9,58.0,4.3,4.32,2.67,545,0.0
0.9,2,5,3.6,59.3,59.0,6.27,6.3,3.73,3992,0.0
0.7,3,0,2.0,59.2,59.0,5.76,5.79,3.42,4198,0.0
0.38,1,1,3.6,60.5,62.0,4.74,4.65,2.84,1112,0.0
0.67,4,5,3.6,57.2,70.0,5.82,5.75,3.31,1436,0.2
0.3,1,1,3.1,61.4,59.0,4.32,4.28,2.64,814,0.0
2.02,1,1,6.5,59.8,58.0,8.2,8.16,4.89,17825,0.0
2.0,1,3,6.5,61.1,60.0,8.1,8.03,4.93,13986,0.0
0.33,0,4,6.0,63.0,57.0,4.41,4.39,2.77,610,0.2
1.1,0,2,10.0,61.8,56.0,6.65,6.61,4.1,3745,0.0
0.56,2,1,3.6,61.7,56.0,5.25,5.31,3.26,1755,0.0
0.85,1,6,3.6,60.7,58.0,6.12,6.08,3.71,2295,0.0
0.93,3,6,6.0,63.7,54.0,6.15,6.09,3.9,2438,0.2
0.53,0,0,3.6,61.2,56.0,5.2,5.23,3.19,1857,0.0
0.4,2,3,2.0,60.9,57.0,4.76,4.8,2.91,1123,0.0
0.73,0,2,6.5,61.9,55.0,5.78,5.82,3.59,2588,0.0
1.14,1,5,6.0,62.2,58.0,6.7,6.67,4.16,4788,0.2
1.02,1,1,6.0,61.4,58.0,6.48,6.45,3.97,5956,0.0
1.2,0,3,3.1,62.6,54.3,6.76,6.8,4.25,8687,0.2
1.02,0,2,3.6,62.6,57.0,6.4,6.47,4.03,7632,0.2
1.02,1,0,2.5,61.4,58.0,6.43,6.46,3.96,10580,0.0
1.2,0,5,6.5,63.0,57.0,6.77,6.7,4.24,4596,0.2
1.0,3,1,6.0,59.8,65.0,6.56,6.45,3.89,4213,0.0
1.11,1,3,6.0,60.9,59.0,6.69,6.64,4.07,4096,0.0
0.39,1,2,3.1,60.6,55.0,4.77,4.73,2.88,1092,0.0
1.07,1,4,6.0,63.0,57.0,6.55,6.44,4.09,5465,0.2
1.14,2,5,3.6,62.5,59.0,6.63,6.66,4.15,4785,0.2
0.58,0,1,6.5,61.4,57.1,5.36,5.38,3.3,1392,0.0
1.5,3,3,6.5,64.3,57.0,7.2,7.29,4.66,8043,0.2
0.26,0,3,2.5,61.4,56.0,4.11,4.14,2.53,545,0.0
1.01,3,5,6.5,61.8,62.0,6.28,6.35,3.9,3399,0.0
0.4,0,2,3.1,61.1,56.0,4.78,4.75,2.91,1050,0.0
0.33,1,2,3.6,62.4,58.0,4.37,4.41,2.74,666,0.2
1.28,0,2,3.1,61.7,55.0,7.01,6.98,4.32,11580,0.0
0.75,0,0,3.6,62.4,55.0,5.83,5.8,3.63,3456,0.2
1.7,1,3,3.1,61.2,57.0,7.73,7.64,4.7,17492,0.0
1.02,0,0,6.0,62.8,56.0,6.44,6.39,4.03,6158,0.2
0.9,0,3,6.0,61.6,57.0,6.17,6.24,3.82,4001,0.0
0.83,1,2,3.6,62.0,59.0,6.0,5.96,3.71,3393,0.0
0.9,2,2,6.5,60.3,63.0,6.28,6.21,3.77,3630,0.0
0.32,2,3,3.6,60.9,58.0,4.42,4.45,2.7,564,0.0
1.05,3,1,3.1,63.1,59.0,6.45,6.49,4.08,7826,0.2
0.9,2,0,6.0,62.4,63.0,6.18,6.15,3.85,3997,0.2
0.71,0,1,6.5,62.3,57.0,5.66,5.74,3.55,2190,0.2
0.6,0,2,2.5,61.5,57.0,5.42,5.45,3.34,3196,0.0
1.23,2,6,2.5,61.2,57.0,6.86,6.92,4.22,5665,0.0
1.01,4,0,6.0,62.6,57.0,6.14,6.22,3.87,5628,0.2
0.7,4,2,3.1,65.8,59.0,5.58,5.48,3.64,2381,0.2
1.59,0,5,6.0,62.4,56.0,7.48,7.46,4.66,10106,0.2
0.35,2,3,0.0,62.2,58.0,4.45,4.52,2.79,1044,0.2
0.9,3,2,3.6,63.6,59.0,6.11,6.06,3.87,4234,0.2
2.0,4,2,6.5,70.2,57.0,7.63,7.59,5.34,15351,2.0
0.71,1,1,6.0,60.4,62.0,5.72,5.67,3.44,2441,0.0
0.26,2,2,2.0,60.8,58.0,4.11,4.18,2.52,679,0.0
0.53,0,2,3.6,61.2,56.0,5.22,5.25,3.2,1655,0.0
0.35,1,5,3.6,61.2,58.0,4.57,4.55,2.79,630,0.0
0.3,1,3,2.5,62.0,60.0,4.25,4.33,2.66,684,0.0
1.04,2,3,6.5,60.6,57.0,6.56,6.6,3.99,4703,0.0
0.23,2,2,2.0,62.3,55.0,3.93,3.96,2.46,583,0.2
1.03,1,2,3.1,61.8,59.0,6.46,6.48,4.0,7328,0.0
0.3,0,3,6.0,62.2,57.0,4.26,4.29,2.66,477,0.2
1.08,3,1,6.0,63.1,59.0,6.49,6.53,4.11,5096,0.2
1.53,0,5,6.5,61.3,59.0,7.42,7.39,4.54,8062,0.0
1.2,0,1,3.6,61.3,56.0,6.89,6.84,4.21,10214,0.0
0.71,0,1,6.0,60.8,57.0,5.8,5.84,3.54,3360,0.0
0.41,1,3,6.0,60.3,59.0,4.79,4.76,2.88,923,0.0
1.09,1,3,3.6,62.1,57.0,6.6,6.55,4.08,5098,0.2
0.7,3,2,6.0,61.1,61.0,5.68,5.71,3.48,2445,0.0
0.91,1,0,6.5,61.5,56.0,6.27,6.22,3.84,4051,0.0
1.07,2,0,0.0,60.9,58.0,6.57,6.67,4.03,18114,0.0
1.52,3,4,6.0,64.1,59.0,7.11,7.18,4.58,8915,0.2
0.81,3,2,6.0,64.3,53.0,5.91,5.97,3.81,2718,0.2
0.5,2,2,6.0,62.8,56.0,5.03,5.06,3.17,1250,0.2
0.35,2,4,2.5,63.0,55.0,4.48,4.5,2.83,706,0.2
0.7,2,3,3.1,60.1,60.0,5.73,5.76,3.45,3017,0.0
0.34,1,4,6.0,60.2,58.0,4.48,4.52,2.71,477,0.0
0.71,0,1,6.0,60.5,56.0,5.81,5.84,3.53,3527,0.0
0.31,0,1,3.6,61.7,55.0,4.39,4.36,2.7,872,0.0
0.55,1,1,3.6,61.5,56.0,5.28,5.25,3.24,1881,0.0
1.05,0,3,3.6,61.9,56.0,6.56,6.52,4.05,6604,0.0
0.32,1,4,6.0,60.9,60.0,4.4,4.43,2.69,461,0.0
0.3,0,1,2.5,61.5,58.0,4.29,4.3,2.64,766,0.0
0.7,2,4,6.5,61.6,56.1,5.72,5.77,3.53,2306,0.0
0.9,2,4,6.5,62.8,57.0,6.15,6.2,3.88,3160,0.2
0.32,2,2,2.5,61.8,60.0,4.36,4.41,2.71,786,0.0
1.12,0,0,3.6,62.0,55.0,6.63,6.66,4.12,8279,0.0
0.72,2,3,3.6,63.3,57.0,5.71,5.67,3.6,2477,0.2
0.7,0,1,6.0,62.2,57.0,5.72,5.67,3.54,2542,0.2
0.3,2,2,3.6,62.9,57.0,4.29,4.33,2.71,605,0.2
0.5,0,2,2.5,59.9,58.0,5.14,5.17,3.09,2016,0.0
1.5,1,0,6.5,58.7,57.0,7.48,7.42,4.37,9173,0.2
0.55,2,1,2.5,60.6,56.0,5.33,5.36,3.24,2499,0.0
0.53,3,1,6.5,63.0,60.0,5.11,5.14,3.23,1127,0.2
1.0,3,2,6.0,63.3,61.0,6.29,6.31,3.99,4712,0.2
0.74,2,0,3.6,62.4,57.0,5.74,5.8,3.6,2906,0.2
0.5,0,0,6.0,60.9,57.0,5.11,5.13,3.12,1563,0.0
0.34,1,4,3.1,62.2,58.0,4.48,4.43,2.77,765,0.2
1.33,1,4,6.0,61.9,58.0,7.04,6.98,4.34,7302,0.0
0.58,1,1,6.0,62.1,58.0,5.35,5.31,3.31,1812,0.2
0.32,0,2,3.1,62.0,54.0,4.44,4.43,2.75,876,0.0
1.0,1,1,6.5,62.8,59.0,6.34,6.3,3.97,4200,0.2
0.33,1,1,3.1,61.0,55.0,4.51,4.47,2.74,1069,0.0
1.03,0,2,2.5,62.0,56.0,6.45,6.48,4.01,9245,0.0
0.72,1,3,2.5,61.6,58.0,5.78,5.81,3.57,2720,0.0
0.7,1,4,3.1,60.6,59.0,5.81,5.74,3.5,2636,0.0
0.39,2,3,6.0,62.5,55.0,4.68,4.7,2.93,694,0.2
0.71,0,0,6.0,60.2,56.0,5.86,5.83,3.52,2822,0.0
0.71,2,0,6.5,60.2,58.0,5.76,5.8,3.48,2519,0.0
1.53,0,4,2.5,61.9,57.0,7.39,7.35,4.56,12848,0.0
1.0,2,2,3.6,61.1,60.0,6.36,6.43,3.91,6619,0.0
0.39,2,3,3.1,61.7,62.0,4.65,4.69,2.88,741,0.0
0.4,3,0,3.6,63.2,57.0,4.65,4.71,2.96,786,0.2
1.01,2,2,6.5,59.5,57.0,6.61,6.66,3.95,3709,0.0
1.01,3,2,2.5,63.6,60.0,6.31,6.36,4.03,6932,0.2
1.14,0,4,6.5,62.6,57.0,6.72,6.63,4.18,4788,0.2
0.51,0,2,3.6,62.9,57.0,5.11,5.09,3.21,1687,0.2
1.5,0,4,3.6,62.2,57.0,7.27,7.33,4.54,10692,0.2
0.75,0,0,6.5,60.3,57.0,5.85,5.89,3.54,2726,0.0
0.31,0,3,3.6,61.4,56.0,4.36,4.34,2.67,698,0.0
0.97,0,1,6.5,62.3,56.0,6.28,6.33,3.93,4078,0.2
0.9,2,2,3.6,61.7,57.0,6.17,6.21,3.82,4493,0.0
0.3,1,4,0.0,60.4,60.0,4.34,4.3,2.61,1013,0.0
0.9,1,5,6.5,62.5,58.0,6.15,6.1,3.83,2948,0.2
1.0,1,4,6.5,60.0,62.0,6.53,6.51,3.91,3584,0.0
0.3,0,0,6.0,62.2,55.0,4.33,4.29,2.68,709,0.2
1.02,0,1,3.6,61.0,56.0,6.53,6.51,3.98,8225,0.0
0.9,3,0,6.0,63.6,63.0,6.03,6.07,3.85,3755,0.2
1.55,2,3,6.0,59.2,59.0,7.51,7.59,4.47,10707,0.0
0.68,3,3,2.0,61.9,55.0,5.63,5.68,3.5,3225,0.0
0.4,2,1,6.0,63.3,56.0,4.74,4.68,2.98,882,0.2
0.51,1,4,6.5,62.9,56.0,5.08,5.06,3.19,1125,0.2
2.32,1,6,6.5,59.0,59.0,8.69,8.64,5.11,14666,0.0
0.31,0,4,6.0,61.2,58.0,4.37,4.39,2.68,417,0.0
1.1,0,4,3.1,61.4,57.0,6.65,6.64,4.08,6470,0.0
1.0,1,2,10.0,62.4,59.0,6.38,6.34,3.97,3405,0.2
0.72,2,0,6.5,61.3,59.0,5.74,5.78,3.53,2692,0.0
0.38,0,3,6.0,61.6,54.0,4.68,4.71,2.89,710,0.0
1.22,2,4,6.0,62.4,57.0,6.78,6.82,4.24,6323,0.2
0.53,0,3,2.0,61.4,57.0,5.21,5.18,3.19,2106,0.0
1.02,1,3,3.6,62.7,58.0,6.44,6.36,4.01,5506,0.2
0.33,2,4,0.0,61.7,59.0,4.43,4.45,2.74,787,0.0
1.06,0,5,3.1,61.8,56.0,6.5,6.57,4.05,6060,0.0
0.3,1,2,0.0,60.7,58.0,4.37,4.33,2.64,1013,0.0
0.28,0,0,3.6,62.4,57.0,4.16,4.2,2.61,487,0.2
0.31,0,2,3.6,61.9,55.0,4.39,4.37,2.71,802,0.0
1.01,2,1,3.6,61.9,55.0,6.38,6.44,3.97,6666,0.0
1.53,0,5,3.1,62.8,55.0,7.4,7.35,4.63,10796,0.2
1.07,1,4,6.0,58.9,59.0,6.76,6.71,3.97,4235,0.2
0.25,0,2,3.6,61.6,55.0,4.06,4.08,2.51,535,0.0
0.33,0,4,2.5,61.9,57.0,4.41,4.44,2.74,666,0.0
1.25,1,6,3.6,62.0,59.0,6.9,6.87,4.27,5264,0.0
0.32,0,3,2.0,61.1,55.0,4.45,4.48,2.73,814,0.0
0.55,0,0,3.6,60.2,56.0,5.33,5.38,3.22,2459,0.0
1.12,1,6,6.5,60.7,61.0,6.71,6.64,4.05,3266,0.0
0.27,0,3,3.1,62.3,53.0,4.16,4.19,2.6,527,0.2
0.93,1,6,3.1,60.3,58.0,6.37,6.31,3.82,3062,0.0
0.31,0,4,2.5,62.5,55.0,4.37,4.34,2.72,802,0.2
0.43,2,2,3.6,62.5,60.0,4.81,4.86,3.02,804,0.2
0.31,3,5,6.0,63.8,55.0,4.34,4.31,2.76,523,0.2
1.23,0,4,0.0,61.3,57.0,6.87,6.92,4.23,8431,0.0
1.01,2,2,6.5,62.4,58.0,6.37,6.41,3.99,4416,0.2
0.4,0,3,2.5,62.3,54.0,4.75,4.78,2.97,931,0.2
1.3,1,2,3.1,62.5,58.0,6.97,6.94,4.35,11392,0.2
0.5,2,2,6.5,63.1,60.0,5.0,5.04,3.17,1020,0.2
2.03,1,0,6.5,62.4,59.0,8.04,7.98,5.0,18286,0.2
0.4,2,6,3.6,62.9,57.0,4.7,4.75,2.97,596,0.2
0.32,2,1,6.0,63.3,56.0,4.35,4.34,2.75,720,0.2
1.01,3,1,6.5,63.9,58.0,6.37,6.31,4.05,3737,0.2
1.04,0,4,6.0,62.5,57.0,6.5,6.46,4.05,4648,0.2
0.31,1,1,2.5,61.9,58.0,4.38,4.35,2.7,1046,0.0
1.06,0,5,3.6,62.3,56.0,6.56,6.51,4.07,4530,0.2
1.05,3,4,6.0,63.1,60.0,6.42,6.49,4.07,4608,0.2
0.71,0,1,3.6,62.2,57.0,5.79,5.62,3.55,2776,0.2
0.34,0,5,3.1,62.6,56.0,4.44,4.47,2.79,537,0.2
0.73,0,2,2.5,62.2,54.0,5.8,5.75,3.59,3193,0.2
0.99,3,2,6.5,63.3,54.0,6.36,6.43,4.05,4052,0.2
0.9,0,1,6.5,62.2,55.0,6.19,6.22,3.86,4191,0.2
0.36,2,3,3.1,62.9,57.0,4.56,4.6,2.88,726,0.2
0.43,0,1,3.6,61.9,56.0,4.88,4.85,3.01,1048,0.0
1.01,1,3,6.5,62.0,58.0,6.41,6.37,3.96,4327,0.0
1.19,1,0,6.5,58.8,58.0,7.04,6.9,4.1,5504,0.2
0.39,2,4,6.5,62.4,59.0,4.58,4.65,2.88,562,0.2
0.87,2,6,6.0,63.1,60.0,6.03,5.96,3.78,2379,0.2
0.91,0,1,6.0,61.4,54.0,6.26,6.24,3.84,5252,0.0
0.35,0,3,3.6,61.0,57.0,4.54,4.57,2.78,633,0.0
1.02,2,2,6.0,61.9,58.0,6.43,6.49,4.0,5019,0.0
0.72,2,4,3.6,62.9,58.0,5.7,5.75,3.6,2396,0.2
0.7,2,2,6.0,60.6,60.0,5.71,5.75,3.47,2662,0.0
1.56,0,6,3.6,62.4,57.0,7.39,7.46,4.63,7809,0.2
1.12,2,4,6.5,61.8,58.0,6.62,6.68,4.11,4624,0.0
1.12,2,3,6.5,60.2,59.0,6.7,6.85,4.08,4852,0.0
2.16,2,4,6.5,62.3,60.0,8.19,8.31,5.14,14824,0.2
0.51,0,0,3.6,62.5,56.0,5.13,5.11,3.2,2056,0.2
0.24,2,2,2.5,62.5,56.0,3.98,4.02,2.5,478,0.2
1.27,1,6,6.5,60.4,58.0,7.04,7.0,4.24,4660,0.0
0.9,2,3,3.6,60.9,59.0,6.18,6.24,3.78,4269,0.0
0.7,4,4,6.0,64.5,59.0,5.54,5.51,3.56,2176,0.2
0.56,0,2,3.6,62.6,56.0,5.28,5.3,3.31,1761,0.2
1.13,1,4,6.0,60.1,60.0,6.77,6.73,4.06,5050,0.0
0.51,2,6,6.0,63.3,56.0,5.12,5.02,3.21,1071,0.2
1.01,0,3,3.1,62.9,57.0,6.43,6.39,4.03,6176,0.2
0.56,0,2,3.6,61.6,55.0,5.29,5.32,3.27,1723,0.0
0.73,0,3,6.0,62.1,54.0,5.81,5.76,3.59,2351,0.2
0.91,1,1,6.5,62.8,59.0,6.16,6.13,3.86,3898,0.2
0.4,0,0,3.1,62.9,56.0,4.71,4.67,2.95,1200,0.2
0.34,0,1,3.6,62.2,55.0,4.49,4.48,2.79,956,0.2
1.7,1,5,3.6,62.2,58.0,7.65,7.6,4.74,11888,0.2
0.9,2,1,3.6,62.9,57.0,6.16,6.18,3.88,4580,0.2
0.51,0,1,3.6,61.7,54.0,5.18,5.13,3.18,1781,0.0
0.7,3,1,3.6,60.3,60.0,5.69,5.75,3.45,3115,0.0
0.43,1,3,3.6,61.3,58.0,4.83,4.86,2.97,867,0.0
0.73,1,1,6.0,62.2,59.0,5.77,5.68,3.56,2821,0.2
0.32,0,1,3.1,61.4,55.0,4.42,4.44,2.72,713,0.0
0.32,1,4,2.0,61.5,59.0,4.41,4.37,2.7,936,0.0
0.91,2,2,6.5,62.4,58.0,6.17,6.21,3.86,3659,0.2
0.4,3,6,3.6,64.0,57.0,4.67,4.7,3.0,591,0.2
0.46,0,2,6.5,62.1,54.7,4.95,4.98,3.08,851,0.2
1.01,2,5,3.6,62.3,60.0,6.33,6.41,3.97,4666,0.2
0.31,0,2,3.6,62.0,56.0,4.35,4.39,2.71,625,0.0
1.11,0,4,6.5,62.0,54.0,6.64,6.61,4.11,4662,0.0
0.5,1,1,10.0,60.7,61.0,5.14,5.05,3.09,840,0.0
0.51,1,1,3.6,62.5,60.0,5.1,5.08,3.18,1709,0.2
0.3,0,2,2.0,61.9,57.0,4.3,4.32,2.67,776,0.0
0.41,0,1,2.0,61.3,56.0,4.79,4.81,2.94,1367,0.0
0.53,3,0,6.5,63.9,55.0,5.1,5.14,3.27,1226,0.2
0.3,1,4,3.6,61.1,59.0,4.37,4.3,2.65,608,0.0
0.4,1,4,3.1,62.6,58.0,4.66,4.73,2.94,807,0.2
0.32,0,0,2.5,61.2,56.0,4.39,4.43,2.7,803,0.0
1.3,0,2,2.5,62.1,55.0,6.96,7.04,4.35,12629,0.2
2.03,2,5,6.0,62.3,60.0,8.01,8.07,5.01,16392,0.2
2.03,3,3,6.5,62.7,65.0,8.17,7.92,5.06,13621,0.2
1.2,2,4,6.0,62.3,57.0,6.78,6.76,4.22,6569,0.2
2.18,0,5,3.6,62.0,57.0,8.35,8.24,5.14,13769,0.0
0.26,1,1,3.6,62.1,56.0,4.13,4.11,2.56,580,0.2
0.91,4,4,6.0,64.7,56.0,6.1,6.07,3.94,3816,0.2
0.34,0,1,6.0,62.1,55.0,4.51,4.47,2.79,765,0.2
0.33,0,3,2.0,60.8,56.0,4.42,4.46,2.7,868,0.0
0.33,0,2,2.0,61.9,55.0,4.42,4.44,2.74,955,0.0
0.35,1,1,3.1,62.2,58.0,4.47,4.5,2.79,718,0.2
0.71,2,3,3.1,63.3,56.0,5.67,5.64,3.58,2494,0.2
1.07,1,0,6.0,60.2,55.0,6.68,6.64,4.01,6112,0.0
0.71,2,0,3.1,62.9,56.0,5.65,5.7,3.57,3465,0.2
2.23,1,6,3.6,61.0,58.0,8.39,8.36,5.11,14867,0.0
0.43,0,4,2.0,61.6,55.0,4.85,4.89,3.0,1017,0.0
0.55,0,0,3.6,62.7,57.0,5.2,5.23,3.27,1755,0.2
0.9,0,3,6.5,62.3,56.0,6.14,6.21,3.85,3718,0.2
0.72,2,5,2.0,62.8,56.0,5.69,5.75,3.59,2562,0.2
0.31,0,6,3.1,61.7,55.1,4.36,4.39,2.7,429,0.0
0.23,0,4,2.0,61.1,55.0,3.98,4.01,2.44,484,0.0
0.31,1,1,2.5,60.4,59.0,4.37,4.34,2.63,1046,0.0
1.52,0,2,6.5,61.9,57.0,7.37,7.33,4.55,10129,0.0
1.22,2,0,6.5,59.0,58.0,6.96,7.08,4.14,6607,0.0
1.32,0,5,3.1,61.2,57.0,7.06,7.12,4.34,7480,0.0
1.24,1,0,6.5,59.9,59.0,7.01,6.95,4.18,5382,0.0
1.01,1,4,3.6,61.6,59.0,6.45,6.47,3.98,5166,0.0
0.4,0,5,3.6,61.8,56.0,4.73,4.79,2.94,639,0.0
0.8,1,6,6.5,61.4,57.0,5.99,5.93,3.66,2074,0.0
0.5,2,1,6.0,63.0,58.0,5.04,5.08,3.19,1316,0.2
1.09,3,2,6.5,60.3,61.0,6.64,6.69,4.02,4698,0.0
0.3,1,3,0.0,60.2,58.0,4.35,4.39,2.63,895,0.0
0.2,1,1,3.6,59.0,60.0,3.81,3.78,2.24,367,0.0
1.21,0,3,3.6,60.1,57.0,6.94,6.98,4.18,9873,0.0
1.43,4,1,6.5,66.0,57.0,7.02,7.0,4.63,6086,0.2
0.56,0,5,0.0,61.9,54.0,5.29,5.34,3.29,1689,0.0
1.71,0,6,2.5,61.6,59.0,7.65,7.68,4.72,10945,0.0
1.24,1,2,3.6,62.2,58.0,6.89,6.84,4.27,9411,0.2
1.43,1,2,6.0,61.5,58.0,7.27,7.22,4.45,8809,0.0
2.32,1,6,3.6,62.4,57.0,8.48,8.4,5.27,17053,0.2
0.34,1,5,2.0,62.6,58.0,4.45,4.47,2.79,626,0.2
0.41,0,1,2.0,60.7,57.0,4.8,4.85,2.93,1367,0.0
1.12,2,2,6.0,62.9,57.0,6.6,6.62,4.16,6262,0.2
1.03,1,1,3.6,62.5,59.0,6.44,6.42,4.02,6183,0.2
1.35,1,2,6.5,62.8,60.0,7.08,7.0,4.42,6804,0.2
0.32,0,3,2.0,61.7,56.0,4.37,4.41,2.71,730,0.0
0.3,0,0,2.5,59.4,60.0,4.39,4.47,2.63,802,0.0
0.5,3,3,3.6,57.9,61.0,5.23,5.2,3.02,1415,0.2
1.1,0,3,6.0,61.6,56.0,6.62,6.65,4.08,6837,0.0
0.33,1,3,3.1,61.4,59.0,4.49,4.43,2.74,854,0.0
0.51,0,3,6.5,62.1,56.0,5.1,5.13,3.18,1148,0.2
0.4,1,4,2.0,61.8,58.0,4.72,4.69,2.91,1088,0.0
0.73,0,1,6.0,59.1,59.0,5.92,5.95,3.51,2846,0.0
1.2,3,0,6.0,63.5,55.0,6.7,6.78,4.28,5913,0.2
0.77,0,1,3.6,61.0,56.0,5.91,5.96,3.62,3303,0.0
0.71,2,5,6.0,62.0,56.0,5.69,5.72,3.54,2098,0.0
0.7,0,2,3.6,61.0,55.0,5.74,5.79,3.52,3468,0.0
0.52,1,0,6.0,60.9,61.0,5.15,5.13,3.13,1605,0.0
0.57,0,4,2.0,61.6,56.0,5.32,5.35,3.28,1961,0.0
0.71,3,5,2.0,63.8,56.0,5.7,5.65,3.62,2572,0.2
0.32,0,3,3.1,62.3,55.0,4.37,4.4,2.73,645,0.2
0.7,2,6,6.5,61.7,59.0,5.64,5.67,3.49,1788,0.0
0.51,0,1,3.1,62.0,57.0,5.11,5.15,3.18,1841,0.0
0.31,1,2,2.0,59.2,62.0,4.41,4.34,2.59,997,0.0
0.41,0,4,2.5,62.0,56.0,4.74,4.78,2.95,899,0.0
0.97,1,2,6.0,59.9,59.0,6.39,6.36,3.82,4726,0.0
0.4,2,0,6.0,63.8,54.0,4.68,4.75,3.01,694,0.2
0.32,0,0,3.6,62.0,55.0,4.41,4.37,2.72,972,0.0
0.3,0,1,2.5,61.6,57.0,4.32,4.29,2.65,1013,0.0
0.91,3,4,6.0,58.2,59.0,6.36,6.4,3.71,3855,0.2
0.55,0,2,3.6,61.1,57.0,5.3,5.27,3.23,1819,0.0
1.09,1,5,6.5,62.3,62.0,6.63,6.57,4.11,2708,0.2
0.37,0,1,2.5,61.4,56.0,4.64,4.67,2.86,876,0.0
1.01,1,3,6.0,58.8,58.0,6.59,6.51,3.85,4395,0.2
0.54,0,2,2.5,61.6,56.0,5.23,5.26,3.23,2231,0.0
1.51,1,5,6.5,62.6,59.0,7.31,7.28,4.57,7292,0.2
1.05,0,3,3.1,61.3,57.0,6.58,6.51,4.01,7155,0.0
0.51,1,5,6.0,61.3,58.0,5.16,5.11,3.15,1084,0.0
1.01,2,3,6.0,63.5,60.0,6.41,6.38,3.92,4271,0.2
2.04,0,5,6.0,60.2,56.0,8.19,8.26,4.95,16718,0.0
1.55,1,6,3.6,60.7,59.0,7.5,7.47,4.54,8055,0.0
1.14,3,4,6.0,62.8,58.0,6.62,6.67,4.17,5487,0.2
0.41,0,2,0.0,61.4,56.0,4.81,4.83,2.96,1439,0.0
0.71,2,2,3.1,62.2,55.0,5.68,5.74,3.56,3045,0.2
1.11,1,4,6.5,60.4,59.0,6.7,6.64,4.03,3605,0.0
1.12,2,1,6.5,60.9,63.0,6.65,6.59,4.03,3864,0.0
0.32,1,4,6.5,60.4,59.0,4.42,4.39,2.66,504,0.0
0.7,3,1,6.5,63.7,55.0,5.63,5.58,3.57,2435,0.2
0.5,2,2,6.5,61.4,61.0,5.09,5.14,3.14,1068,0.0
0.31,0,0,3.6,62.0,55.0,4.36,4.38,2.71,734,0.0
1.01,1,3,6.0,61.0,58.0,6.53,6.49,3.97,4808,0.0
0.59,2,3,3.1,62.0,56.0,5.35,5.39,3.33,1878,0.0
0.32,0,0,3.6,61.5,56.0,4.42,4.39,2.71,972,0.0
0.71,0,0,6.5,61.0,56.0,5.77,5.8,3.53,2505,0.0
0.37,0,2,2.5,61.6,57.0,4.59,4.63,2.84,920,0.0
0.31,3,5,3.1,63.9,55.0,4.3,4.28,2.74,586,0.2
0.71,1,4,6.0,62.9,58.0,5.66,5.62,3.55,2364,0.2
1.21,1,4,6.0,61.6,61.0,6.88,6.83,4.22,6505,0.0
2.01,1,3,6.5,59.4,58.0,8.19,8.15,4.85,15562,0.0
0.32,0,0,2.0,61.8,56.0,4.39,4.41,2.72,1067,0.0
