carat,cut,color,clarity,depth,table,price,depth_categories
0.28,0,0,3.6,62.4,57.0,487,0.2
0.31,0,2,3.6,61.9,55.0,802,0.0
1.01,2,1,3.6,61.9,55.0,6666,0.0
1.53,0,5,3.1,62.8,55.0,10796,0.2
1.07,1,4,6.0,58.9,59.0,4235,0.2
0.25,0,2,3.6,61.6,55.0,535,0.0
0.33,0,4,2.5,61.9,57.0,666,0.0
1.25,1,6,3.6,62.0,59.0,5264,0.0
0.32,0,3,2.0,61.1,55.0,814,0.0
0.55,0,0,3.6,60.2,56.0,2459,0.0
1.12,1,6,6.5,60.7,61.0,3266,0.0
0.27,0,3,3.1,62.3,53.0,527,0.2
0.93,1,6,3.1,60.3,58.0,3062,0.0
0.31,0,4,2.5,62.5,55.0,802,0.2
0.43,2,2,3.6,62.5,60.0,804,0.2
0.31,3,5,6.0,63.8,55.0,523,0.2
1.23,0,4,0.0,61.3,57.0,8431,0.0
1.01,2,2,6.5,62.4,58.0,4416,0.2
0.4,0,3,2.5,62.3,54.0,931,0.2
1.3,1,2,3.1,62.5,58.0,11392,0.2
0.5,2,2,6.5,63.1,60.0,1020,0.2
2.03,1,0,6.5,62.4,59.0,18286,0.2
0.4,2,6,3.6,62.9,57.0,596,0.2
0.32,2,1,6.0,63.3,56.0,720,0.2
1.01,3,1,6.5,63.9,58.0,3737,0.2
1.04,0,4,6.0,62.5,57.0,4648,0.2
0.31,1,1,2.5,61.9,58.0,1046,0.0
1.06,0,5,3.6,62.3,56.0,4530,0.2
1.05,3,4,6.0,63.1,60.0,4608,0.2
0.71,0,1,3.6,62.2,57.0,2776,0.2
0.34,0,5,3.1,62.6,56.0,537,0.2
0.73,0,2,2.5,62.2,54.0,3193,0.2
0.99,3,2,6.5,63.3,54.0,4052,0.2
0.9,0,1,6.5,62.2,55.0,4191,0.2
0.36,2,3,3.1,62.9,57.0,726,0.2
0.43,0,1,3.6,61.9,56.0,1048,0.0
1.01,1,3,6.5,62.0,58.0,4327,0.0
1.19,1,0,6.5,58.8,58.0,5504,0.2
0.39,2,4,6.5,62.4,59.0,562,0.2
0.87,2,6,6.0,63.1,60.0,2379,0.2
0.91,0,1,6.0,61.4,54.0,5252,0.0
0.35,0,3,3.6,61.0,57.0,633,0.0
1.02,2,2,6.0,61.9,58.0,5019,0.0
0.72,2,4,3.6,62.9,58.0,2396,0.2
0.7,2,2,6.0,60.6,60.0,2662,0.0
1.56,0,6,3.6,62.4,57.0,7809,0.2
1.12,2,4,6.5,61.8,58.0,4624,0.0
1.12,2,3,6.5,60.2,59.0,4852,0.0
2.16,2,4,6.5,62.3,60.0,14824,0.2
0.51,0,0,3.6,62.5,56.0,2056,0.2
0.24,2,2,2.5,62.5,56.0,478,0.2
1.27,1,6,6.5,60.4,58.0,4660,0.0
0.9,2,3,3.6,60.9,59.0,4269,0.0
0.7,4,4,6.0,64.5,59.0,2176,0.2
0.56,0,2,3.6,62.6,56.0,1761,0.2
1.13,1,4,6.0,60.1,60.0,5050,0.0
0.51,2,6,6.0,63.3,56.0,1071,0.2
1.01,0,3,3.1,62.9,57.0,6176,0.2
0.56,0,2,3.6,61.6,55.0,1723,0.0
0.73,0,3,6.0,62.1,54.0,2351,0.2
0.91,1,1,6.5,62.8,59.0,3898,0.2
0.4,0,0,3.1,62.9,56.0,1200,0.2
0.34,0,1,3.6,62.2,55.0,956,0.2
1.7,1,5,3.6,62.2,58.0,11888,0.2
0.9,2,1,3.6,62.9,57.0,4580,0.2
0.51,0,1,3.6,61.7,54.0,1781,0.0
0.7,3,1,3.6,60.3,60.0,3115,0.0
0.43,1,3,3.6,61.3,58.0,867,0.0
0.73,1,1,6.0,62.2,59.0,2821,0.2
0.32,0,1,3.1,61.4,55.0,713,0.0
0.32,1,4,2.0,61.5,59.0,936,0.0
0.91,2,2,6.5,62.4,58.0,3659,0.2
0.4,3,6,3.6,64.0,57.0,591,0.2
0.46,0,2,6.5,62.1,54.7,851,0.2
1.01,2,5,3.6,62.3,60.0,4666,0.2
0.31,0,2,3.6,62.0,56.0,625,0.0
1.11,0,4,6.5,62.0,54.0,4662,0.0
0.5,1,1,10.0,60.7,61.0,840,0.0
0.51,1,1,3.6,62.5,60.0,1709,0.2
0.3,0,2,2.0,61.9,57.0,776,0.0
0.41,0,1,2.0,61.3,56.0,1367,0.0
0.53,3,0,6.5,63.9,55.0,1226,0.2
0.3,1,4,3.6,61.1,59.0,608,0.0
0.4,1,4,3.1,62.6,58.0,807,0.2
0.32,0,0,2.5,61.2,56.0,803,0.0
1.3,0,2,2.5,62.1,55.0,12629,0.2
2.03,2,5,6.0,62.3,60.0,16392,0.2
2.03,3,3,6.5,62.7,65.0,13621,0.2
1.2,2,4,6.0,62.3,57.0,6569,0.2
2.18,0,5,3.6,62.0,57.0,13769,0.0
0.26,1,1,3.6,62.1,56.0,580,0.2
0.91,4,4,6.0,64.7,56.0,3816,0.2
0.34,0,1,6.0,62.1,55.0,765,0.2
0.33,0,3,2.0,60.8,56.0,868,0.0
0.33,0,2,2.0,61.9,55.0,955,0.0
0.35,1,1,3.1,62.2,58.0,718,0.2
0.71,2,3,3.1,63.3,56.0,2494,0.2
1.07,1,0,6.0,60.2,55.0,6112,0.0
0.71,2,0,3.1,62.9,56.0,3465,0.2
2.23,1,6,3.6,61.0,58.0,14867,0.0
0.43,0,4,2.0,61.6,55.0,1017,0.0
0.55,0,0,3.6,62.7,57.0,1755,0.2
0.9,0,3,6.5,62.3,56.0,3718,0.2
0.72,2,5,2.0,62.8,56.0,2562,0.2
0.31,0,6,3.1,61.7,55.1,429,0.0
0.23,0,4,2.0,61.1,55.0,484,0.0
0.31,1,1,2.5,60.4,59.0,1046,0.0
1.52,0,2,6.5,61.9,57.0,10129,0.0
1.22,2,0,6.5,59.0,58.0,6607,0.0
1.32,0,5,3.1,61.2,57.0,7480,0.0
1.24,1,0,6.5,59.9,59.0,5382,0.0
1.01,1,4,3.6,61.6,59.0,5166,0.0
0.4,0,5,3.6,61.8,56.0,639,0.0
0.8,1,6,6.5,61.4,57.0,2074,0.0
0.5,2,1,6.0,63.0,58.0,1316,0.2
1.09,3,2,6.5,60.3,61.0,4698,0.0
0.3,1,3,0.0,60.2,58.0,895,0.0
0.2,1,1,3.6,59.0,60.0,367,0.0
1.21,0,3,3.6,60.1,57.0,9873,0.0
1.43,4,1,6.5,66.0,57.0,6086,0.2
0.56,0,5,0.0,61.9,54.0,1689,0.0
1.71,0,6,2.5,61.6,59.0,10945,0.0
1.24,1,2,3.6,62.2,58.0,9411,0.2
1.43,1,2,6.0,61.5,58.0,8809,0.0
2.32,1,6,3.6,62.4,57.0,17053,0.2
0.34,1,5,2.0,62.6,58.0,626,0.2
0.41,0,1,2.0,60.7,57.0,1367,0.0
1.12,2,2,6.0,62.9,57.0,6262,0.2
1.03,1,1,3.6,62.5,59.0,6183,0.2
1.35,1,2,6.5,62.8,60.0,6804,0.2
0.32,0,3,2.0,61.7,56.0,730,0.0
0.3,0,0,2.5,59.4,60.0,802,0.0
0.5,3,3,3.6,57.9,61.0,1415,0.2
1.1,0,3,6.0,61.6,56.0,6837,0.0
0.33,1,3,3.1,61.4,59.0,854,0.0
0.51,0,3,6.5,62.1,56.0,1148,0.2
0.4,1,4,2.0,61.8,58.0,1088,0.0
0.73,0,1,6.0,59.1,59.0,2846,0.0
1.2,3,0,6.0,63.5,55.0,5913,0.2
0.77,0,1,3.6,61.0,56.0,3303,0.0
0.71,2,5,6.0,62.0,56.0,2098,0.0
0.7,0,2,3.6,61.0,55.0,3468,0.0
0.52,1,0,6.0,60.9,61.0,1605,0.0
0.57,0,4,2.0,61.6,56.0,1961,0.0
0.71,3,5,2.0,63.8,56.0,2572,0.2
0.32,0,3,3.1,62.3,55.0,645,0.2
0.7,2,6,6.5,61.7,59.0,1788,0.0
0.51,0,1,3.1,62.0,57.0,1841,0.0
0.31,1,2,2.0,59.2,62.0,997,0.0
0.41,0,4,2.5,62.0,56.0,899,0.0
0.97,1,2,6.0,59.9,59.0,4726,0.0
0.4,2,0,6.0,63.8,54.0,694,0.2
0.32,0,0,3.6,62.0,55.0,972,0.0
0.3,0,1,2.5,61.6,57.0,1013,0.0
0.91,3,4,6.0,58.2,59.0,3855,0.2
0.55,0,2,3.6,61.1,57.0,1819,0.0
1.09,1,5,6.5,62.3,62.0,2708,0.2
0.37,0,1,2.5,61.4,56.0,876,0.0
1.01,1,3,6.0,58.8,58.0,4395,0.2
0.54,0,2,2.5,61.6,56.0,2231,0.0
1.51,1,5,6.5,62.6,59.0,7292,0.2
1.05,0,3,3.1,61.3,57.0,7155,0.0
0.51,1,5,6.0,61.3,58.0,1084,0.0
1.01,2,3,6.0,63.5,60.0,4271,0.2
2.04,0,5,6.0,60.2,56.0,16718,0.0
1.55,1,6,3.6,60.7,59.0,8055,0.0
1.14,3,4,6.0,62.8,58.0,5487,0.2
0.41,0,2,0.0,61.4,56.0,1439,0.0
0.71,2,2,3.1,62.2,55.0,3045,0.2
1.11,1,4,6.5,60.4,59.0,3605,0.0
1.12,2,1,6.5,60.9,63.0,3864,0.0
0.32,1,4,6.5,60.4,59.0,504,0.0
0.7,3,1,6.5,63.7,55.0,2435,0.2
0.5,2,2,6.5,61.4,61.0,1068,0.0
0.31,0,0,3.6,62.0,55.0,734,0.0
1.01,1,3,6.0,61.0,58.0,4808,0.0
0.59,2,3,3.1,62.0,56.0,1878,0.0
0.32,0,0,3.6,61.5,56.0,972,0.0
0.71,0,0,6.5,61.0,56.0,2505,0.0
0.37,0,2,2.5,61.6,57.0,920,0.0
0.31,3,5,3.1,63.9,55.0,586,0.2
0.71,1,4,6.0,62.9,58.0,2364,0.2
1.21,1,4,6.0,61.6,61.0,6505,0.0
2.01,1,3,6.5,59.4,58.0,15562,0.0
0.32,0,0,2.0,61.8,56.0,1067,0.0
0.5,1,3,2.5,61.4,57.0,1909,0.0
0.31,0,3,0.0,62.1,56.0,871,0.2
0.4,2,1,6.0,63.2,58.0,882,0.2
0.23,2,0,2.5,61.3,58.0,530,0.0
0.38,0,6,3.6,61.4,57.0,617,0.0
1.38,2,2,3.1,61.4,61.0,11286,0.0
0.56,1,0,3.6,61.1,58.0,1963,0.0
1.33,1,3,3.6,58.6,61.0,9682,0.2
0.41,4,5,3.1,65.3,58.0,735,0.2
0.7,2,1,2.5,61.5,58.0,3429,0.0
0.71,0,1,3.6,61.6,57.0,3112,0.0
0.42,2,1,2.5,59.8,56.0,1167,0.0
1.56,1,4,3.6,62.2,58.0,10424,0.2
1.03,1,6,6.5,62.8,58.0,3634,0.2
0.41,0,0,3.1,62.8,57.0,1230,0.2
0.31,0,3,0.0,61.7,54.0,891,0.0
0.42,0,2,2.0,62.0,55.0,1233,0.0
0.96,4,3,6.0,69.7,59.0,3299,2.0
1.5,0,5,10.0,61.3,57.0,5593,0.0
0.4,0,2,0.0,61.8,55.0,1261,0.0
0.27,2,4,2.5,62.1,57.0,486,0.2
1.29,1,4,6.5,61.0,57.0,5418,0.0
1.5,1,5,3.6,62.5,59.0,9055,0.2
0.7,2,2,6.0,61.4,57.0,2161,0.0
0.54,2,2,3.1,61.8,59.0,1653,0.0
1.0,2,2,6.0,63.5,56.0,5122,0.2
1.26,1,4,6.0,62.1,57.0,6435,0.2
0.91,2,1,6.0,63.5,57.0,4138,0.2
0.32,0,5,0.0,61.4,57.0,655,0.0
0.7,1,0,3.1,60.6,58.0,3239,0.0
0.51,0,2,3.6,62.6,55.0,1875,0.2
0.3,0,3,3.6,60.8,57.0,491,0.0
0.3,0,4,3.1,62.5,56.0,675,0.2
0.56,2,1,2.5,60.5,57.0,2442,0.0
1.5,2,0,3.6,63.0,59.0,13372,0.2
0.31,0,2,3.6,62.3,57.0,625,0.2
0.31,3,2,6.0,63.1,57.0,516,0.2
1.62,0,2,3.1,61.3,56.0,16790,0.0
0.38,2,0,3.6,60.9,58.0,933,0.0
0.51,1,3,3.6,61.3,59.0,1443,0.0
1.23,2,4,3.6,60.6,59.0,6459,0.0
1.19,1,1,10.0,60.2,61.0,3572,0.0
0.55,1,1,3.6,60.1,59.0,1735,0.0
1.5,2,2,3.6,62.6,59.0,12870,0.2
1.15,1,4,2.5,58.8,58.0,6917,0.2
0.56,0,1,3.1,60.0,55.0,2352,0.0
1.58,0,0,6.5,62.5,55.0,11428,0.2
0.71,2,1,6.0,62.9,57.0,2573,0.2
0.39,3,6,3.6,63.3,56.0,581,0.2
0.5,4,4,3.1,66.5,60.0,1155,0.2
0.71,1,1,6.0,60.8,60.0,2629,0.0
0.53,0,4,3.1,61.6,55.0,1678,0.0
0.5,0,1,6.5,61.1,58.0,1185,0.0
0.5,3,0,6.0,63.9,56.0,1257,0.2
2.3,1,5,3.6,61.8,60.0,18239,0.0
0.46,2,1,3.6,61.3,57.0,1081,0.0
0.32,0,3,3.1,61.6,55.0,665,0.0
0.31,2,3,3.6,63.1,56.0,698,0.2
0.35,0,1,3.1,61.9,56.0,1063,0.0
1.55,1,6,3.1,62.6,59.0,8593,0.2
0.33,2,1,3.1,58.3,62.0,886,0.2
1.01,2,1,3.6,63.4,60.0,6787,0.2
0.71,2,4,2.5,62.5,56.0,2594,0.2
1.16,1,5,3.1,60.4,59.0,5457,0.0
0.9,4,3,6.0,65.2,59.0,3250,0.2
0.49,0,0,3.1,62.3,55.0,1934,0.2
1.32,0,3,3.6,61.1,57.0,9408,0.0
1.0,4,2,6.5,59.3,66.0,3975,0.0
2.46,0,3,6.5,63.0,56.0,15745,0.2
0.38,2,2,3.6,61.9,59.0,800,0.0
0.38,3,4,6.0,63.3,57.0,633,0.2
1.52,3,2,6.0,63.6,54.0,10664,0.2
1.03,1,6,6.5,62.0,58.0,3378,0.0
1.01,2,2,3.6,63.3,57.0,6533,0.2
0.41,1,2,2.5,60.4,58.0,1115,0.0
0.7,2,5,3.1,62.7,58.0,2288,0.2
0.26,2,3,3.1,62.4,56.0,423,0.2
0.78,4,3,6.0,64.6,56.0,2359,0.2
0.31,1,2,3.6,61.5,56.0,802,0.0
1.2,0,4,3.6,62.0,56.0,6666,0.0
1.08,0,4,6.0,60.5,57.0,6426,0.0
1.3,0,4,2.0,62.8,55.2,9232,0.2
1.05,2,2,0.0,59.7,55.0,11417,0.0
1.01,2,2,6.5,61.0,60.0,5067,0.0
0.75,0,3,6.0,62.2,55.0,2760,0.2
0.77,0,6,6.0,62.0,57.0,2257,0.0
0.91,2,1,3.6,62.2,60.0,4759,0.2
0.78,3,1,6.0,57.9,62.0,2723,0.2
0.33,0,1,3.1,60.0,57.0,802,0.0
1.01,1,4,3.6,62.9,60.0,4559,0.2
0.3,2,0,3.6,62.5,57.0,670,0.2
0.3,2,4,2.5,62.0,55.0,533,0.0
0.44,2,6,3.1,61.9,57.0,694,0.0
0.4,1,0,3.6,62.4,59.0,1050,0.2
0.9,4,2,3.6,64.7,54.0,3931,0.2
0.42,0,0,3.6,61.4,56.0,1103,0.0
0.41,1,5,2.5,59.9,58.0,1061,0.0
1.52,1,1,6.5,60.8,60.0,9193,0.0
1.02,3,6,6.5,62.2,61.0,3639,0.2
0.36,0,3,3.6,60.6,56.0,664,0.0
0.53,0,4,6.5,61.6,54.0,1020,0.0
0.34,1,3,2.0,59.0,62.0,1071,0.0
0.43,0,3,6.0,61.8,55.0,795,0.0
1.05,1,0,6.0,59.3,58.0,6174,0.0
0.54,0,2,3.6,61.0,56.0,1615,0.0
0.31,1,3,6.5,62.3,57.0,523,0.2
0.3,3,5,6.0,64.1,57.0,391,0.2
1.0,3,3,3.1,63.9,55.0,6028,0.2
1.0,2,3,6.5,62.6,58.0,4725,0.2
1.2,0,5,2.5,61.5,57.0,6581,0.0
0.33,0,4,2.0,62.1,55.0,730,0.2
1.53,0,3,2.5,61.4,59.0,15275,0.0
1.51,1,1,3.6,59.8,58.0,14482,0.0
1.01,1,0,3.6,61.6,59.0,6271,0.0
1.01,2,3,6.0,62.0,63.0,3137,0.0
0.57,0,3,3.6,60.2,59.0,1642,0.0
0.5,0,5,6.0,62.0,55.0,982,0.0
0.33,2,0,2.5,61.9,56.0,856,0.0
0.44,1,0,3.1,60.2,59.0,1232,0.0
0.72,2,1,6.5,63.5,59.0,2376,0.2
0.32,0,2,0.0,62.2,54.0,943,0.2
1.01,1,1,6.0,60.7,58.0,5525,0.0
1.01,4,0,6.0,65.0,57.0,5385,0.2
1.5,1,5,3.6,62.3,60.0,9479,0.2
1.0,3,3,3.6,59.1,62.0,6369,0.0
1.08,3,3,3.6,58.9,58.0,6708,0.2
0.3,3,4,2.5,63.6,56.0,605,0.2
0.34,1,5,3.1,59.5,59.0,537,0.0
0.52,0,2,3.6,61.5,56.0,1981,0.0
0.91,0,4,6.0,62.0,56.0,4337,0.0
1.5,0,4,6.0,61.6,57.0,7627,0.0
1.25,2,4,6.5,63.5,57.0,4060,0.2
0.4,3,2,2.5,62.2,63.0,936,0.2
2.31,1,6,3.1,62.3,61.0,17451,0.2
0.9,2,3,3.1,61.7,60.0,4872,0.0
0.32,2,0,3.6,61.8,57.0,758,0.0
0.7,1,2,6.5,62.9,57.0,2184,0.2
1.01,0,5,6.0,62.3,59.0,4518,0.2
0.55,3,3,6.0,63.6,61.0,1213,0.2
0.31,0,0,3.6,62.1,54.0,804,0.2
0.27,0,0,2.5,61.5,56.0,586,0.0
0.4,1,1,3.6,61.9,59.0,975,0.0
0.6,2,2,3.6,62.1,57.0,1772,0.2
0.4,0,5,2.0,60.5,57.0,1080,0.0
1.2,0,3,3.1,62.0,55.0,9625,0.0
1.09,1,0,6.0,61.6,58.0,5799,0.0
0.67,0,4,6.0,62.1,54.0,1550,0.2
0.7,1,1,3.6,61.0,59.0,3199,0.0
0.52,0,5,3.1,61.5,56.0,1357,0.0
0.33,1,4,3.1,61.9,58.0,743,0.0
0.7,2,1,3.6,60.2,62.0,2843,0.0
0.57,2,1,6.0,62.1,58.0,1397,0.2
1.01,1,1,6.0,62.4,60.0,5002,0.2
0.54,0,3,2.5,62.0,56.0,1920,0.0
2.01,1,2,6.0,59.5,58.0,14502,0.0
0.31,0,3,0.0,61.6,56.0,839,0.0
1.01,4,2,3.1,64.7,54.0,6759,0.2
0.32,2,4,6.0,61.9,59.0,449,0.0
1.01,0,1,6.0,60.8,56.0,6346,0.0
0.91,0,2,3.6,62.6,55.0,5261,0.2
0.5,1,2,3.6,60.7,58.0,1654,0.0
1.2,4,5,10.0,66.2,55.0,3011,0.2
